1000	521	1000	522	1054	524
1000	556	1000	554	996	557
1000	603	1000	603	965	605
1000	650	1000	653	937	655
1000	687	1000	695	828	697
1000	712	1000	721	879	723
1000	789	1000	781	836	789
1000	804	1000	802	879	804
1000	836	1000	859	941	860
1000	870	1000	883	922	885

1000	513	1000	513	998	515
1000	556	1000	556	935	557
1000	605	1000	605	908	609
1000	661	1000	662	857	665
1000	701	1000	704	716	706
1000	726	1000	739	750	740
1000	807	1000	813	387	814
1000	813	1000	811	814	812
1000	846	1000	844	925	845
1000	868	1000	899	895	900


1000	498	1000	558	944	498
1000	549	1000	552	924	549
1000	608	1000	608	920	608
1000	669	1000	638	934	668
1000	728	1000	636	932	728
1000	789	1000	642	945	789
1000	849	1000	662	938	848
1000	903	1000	704	918	902
1000	951	1000	721	874	950
1000	996	1000	721	900	994


