2000	2000	2000	2000	1950	1998
2000	2001	2000	2020	1954	2018
2000	2003	2000	2034	1997	2032
2000	2001	2000	2011	1978	2009
2000	2018	2000	2030	1973	2028
2000	2036	2000	2047	1979	2045
2000	2067	2000	2116	1887	2114
2000	2138	2000	2151	1934	2149
2000	2171	2000	2291	1938	2289
2000	2236	2000	2361	1933	2359

2000	2001	2000	2010	1981	2008
2000	2004	2000	2024	1984	2021
2000	2015	2000	2028	1985	2026
2000	2008	1998	2030	1988	2028
2000	2008	2000	2045	1960	2043
2000	2028	2000	2041	1969	2039
2000	2106	1978	2134	1884	2132
1998	2164	2000	2185	1928	2183
2000	2191	1994	2223	1913	2222
2000	2279	2000	2352	1946	2350

2000	2000	2000	2013	1941	2011
2000	2002	2000	2011	1978	2009
2000	2011	2000	2043	1973	2041
2000	2015	2000	2041	1929	2039
2000	2017	2000	2034	1926	2032
2000	2048	2000	2070	1938	2068
2000	2037	2000	2052	1946	2050
2000	2159	2000	2230	1930	2228
2000	2199	1998	2255	1891	2253
2000	2241	1994	2350	1845	2349

2000	2000	2000	2003	1995	2001
2000	2006	2000	2013	1994	2011
2000	2003	2000	2018	1999	2016
2000	2012	2000	2021	1994	2019
2000	2030	2000	2097	1971	2095
2000	2034	2000	2063	1967	2061
2000	2093	1994	2158	1886	2156
2000	2175	1996	2294	1915	2292
2000	2247	1982	2393	1930	2392
1992	2317	2000	2386	1871	2384

2000	2000	2000	2000	2000	2000
2000	2000	2000	2004	1996	2002
2000	2007	2000	2031	1994	2029
2000	2018	2000	2034	1997	2032
2000	2021	2000	2043	1978	2041
2000	2056	2000	2085	1960	2084
1996	2118	1998	2186	1955	2185
2000	2131	2000	2155	1954	2153
1980	2354	1992	2414	1945	2412
1988	2280	1948	2405	1931	2404

