1990	1293	996	1293
2000	1234	1000	1233
1998	1226	1000	1226
2000	1222	1000	1221
2000	1222	1000	1221
2000	1222	1000	1221

1992	1303	996	1302
1998	1223	1000	1223
1998	1235	1000	1236
2000	1223	1000	1221
2000	1223	1000	1222
2000	1223	1000	1222

2000	1290	1000	1289
1998	1226	1000	1226
2000	1229	1000	1227
2000	1223	1000	1221
2000	1223	1000	1221
2000	1223	1000	1221

2000	1265	1000	1264
1998	1224	1000	1224
1998	1224	1000	1224
2000	1221	1000	1219
2000	1221	1000	1219
2000	1221	1000	1219

2000	1282	1000	1280
2000	1230	1000	1228
2000	1223	1000	1222
2000	1223	1000	1222
2000	1223	1000	1221
2000	1223	1000	1222

1996	1282	998	1281
1998	1238	1000	1238
2000	1225	1000	1224
2000	1222	1000	1221
2000	1222	1000	1221
2000	1222	1000	1221

2000	1279	1000	1278
1998	1235	1000	1235
2000	1222	1000	1221
2000	1223	1000	1222
2000	1223	1000	1222
2000	1223	1000	1222

2000	1352	1000	1351
2000	1229	1000	1228
2000	1226	1000	1225
2000	1223	1000	1222
2000	1223	1000	1222
2000	1223	1000	1222

937	1029	937	1028
950	1033	950	1033
957	1036	957	1036
955	1035	955	1034
963	1038	963	1036
926	1025	926	1024

943	1031	943	1029
939	1030	939	1029
947	1033	947	1032
948	1033	948	1032
953	1035	953	1034
922	1025	922	1024

949	1034	949	1033
951	1035	951	1034
940	1031	940	1030
940	1032	940	1031
949	1035	949	1034
945	1033	945	1032

931	1029	931	1027
954	1037	953	1036
964	1039	964	1037
949	1034	949	1032
951	1034	951	1033
948	1033	948	1031

928	1026	928	1025
930	1027	930	1026
959	1037	959	1036
951	1035	951	1034
941	1031	941	1030
942	1032	942	1030

